cell_line,phase,time_point,old_centroids,new_centroids
mutant,Initiation,10,41,7
mutant,Initiation,10,37,0
mutant,Initiation,10,7,1
mutant,Initiation,10,5,0
mutant,Initiation,10,11,0
mutant,Initiation,10,42,13
mutant,Initiation,10,8,1
mutant,Initiation,10,13,0
mutant,Initiation,10,11,1
mutant,Initiation,10,14,2
mutant,Initiation,10,41,0
mutant,Initiation,10,281,21
mutant,Initiation,10,17,0
mutant,Initiation,10,37,1
mutant,Initiation,10,56,15
mutant,Initiation,10,42,0
mutant,Initiation,10,25,5
mutant,Initiation,10,27,9
mutant,Initiation,10,15,2
mutant,Initiation,10,55,0
mutant,Initiation,10,20,0
mutant,Initiation,10,23,0
mutant,Initiation,10,3,0
mutant,Initiation,10,12,0
mutant,Initiation,10,5,0
mutant,Initiation,10,4,0
mutant,Initiation,20,47,5
mutant,Initiation,20,23,2
mutant,Initiation,20,33,8
mutant,Initiation,20,21,7
mutant,Initiation,20,92,0
mutant,Initiation,20,200,0
mutant,Initiation,20,104,4
mutant,Initiation,20,77,0
mutant,Initiation,20,8,4
mutant,Initiation,20,96,12
mutant,Initiation,20,11,1
mutant,Initiation,20,54,14
mutant,Initiation,20,80,16
mutant,Initiation,20,27,7
mutant,Initiation,20,9,3
mutant,Initiation,20,20,4
mutant,Initiation,20,15,3
mutant,Initiation,20,25,5
mutant,Initiation,20,19,6
mutant,Initiation,20,12,4
mutant,Initiation,20,29,8
mutant,Initiation,20,17,3
mutant,Initiation,20,5,2
mutant,Initiation,20,15,0
mutant,Initiation,20,5,3
mutant,Initiation,20,31,5
mutant,Initiation,20,67,0
mutant,Initiation,20,41,13
mutant,Initiation,30,22,1
mutant,Initiation,30,79,16
mutant,Initiation,30,201,48
mutant,Initiation,30,91,0
mutant,Initiation,30,28,0
mutant,Initiation,30,27,4
mutant,Initiation,30,53,0
mutant,Initiation,30,18,5
mutant,Initiation,30,34,4
mutant,Initiation,30,14,3
mutant,Initiation,30,34,0
mutant,Initiation,30,120,9
mutant,Initiation,30,191,0
mutant,Initiation,30,72,0
mutant,Initiation,30,81,0
mutant,Initiation,30,31,3
mutant,Initiation,30,45,0
mutant,Initiation,30,16,1
mutant,Initiation,30,30,0
mutant,Initiation,30,28,10
mutant,Initiation,30,32,3
mutant,Initiation,30,21,5
mutant,Initiation,30,45,5
mutant,Initiation,30,18,1
mutant,Initiation,30,43,6
mutant,Initiation,30,4,1
mutant,Initiation,30,7,2
mutant,Initiation,30,36,0
mutant,Initiation,40,143,13
mutant,Initiation,40,55,0
mutant,Initiation,40,56,15
mutant,Initiation,40,107,9
mutant,Initiation,40,50,0
mutant,Initiation,40,73,0
mutant,Initiation,40,76,0
mutant,Initiation,40,97,21
mutant,Initiation,40,62,15
mutant,Initiation,40,148,0
mutant,Initiation,40,59,8
mutant,Initiation,40,24,0
mutant,Initiation,40,136,19
mutant,Initiation,40,133,27
mutant,Initiation,40,127,0
mutant,Initiation,40,96,25
mutant,Initiation,40,91,7
mutant,Initiation,40,114,6
mutant,Initiation,40,14,1
mutant,Initiation,40,201,26
mutant,Initiation,40,50,3
mutant,Initiation,40,78,0
mutant,Initiation,50,136,17
mutant,Initiation,50,184,0
mutant,Initiation,50,81,0
mutant,Initiation,50,30,2
mutant,Initiation,50,151,24
mutant,Initiation,50,74,23
mutant,Initiation,50,77,0
mutant,Initiation,50,63,14
mutant,Initiation,50,20,7
mutant,Initiation,50,237,0
mutant,Initiation,50,130,3
mutant,Initiation,50,84,26
mutant,Initiation,50,14,2
mutant,Initiation,50,10,0
mutant,Initiation,50,38,3
mutant,Initiation,50,19,3
mutant,Initiation,50,55,3
mutant,Initiation,50,85,17
mutant,Initiation,50,103,21
mutant,Initiation,50,23,7
mutant,Initiation,50,72,13
mutant,Initiation,50,70,0
mutant,Initiation,50,34,11
mutant,Initiation,50,51,18
mutant,Initiation,50,10,3
mutant,Initiation,50,197,7
mutant,Initiation,50,49,4
mutant,Initiation,50,12,0
mutant,Initiation,50,51,3
mutant,Initiation,50,17,1
mutant,Initiation,50,98,11
mutant,Initiation,50,75,4
