cell_line,phase,time_point,old_centroids,new_centroids
spen_mutant,Initiation,10,163,36
spen_mutant,Initiation,10,196,0
spen_mutant,Initiation,10,215,34
spen_mutant,Initiation,10,172,0
spen_mutant,Initiation,10,268,0
spen_mutant,Initiation,10,120,43
spen_mutant,Initiation,10,59,6
spen_mutant,Initiation,10,105,0
spen_mutant,Initiation,10,143,13
spen_mutant,Initiation,10,381,50
spen_mutant,Initiation,10,264,0
spen_mutant,Initiation,10,143,20
spen_mutant,Initiation,10,81,4
spen_mutant,Initiation,10,171,14
spen_mutant,Initiation,10,332,107
spen_mutant,Initiation,10,535,0
spen_mutant,Initiation,10,388,93
spen_mutant,Initiation,20,118,63
spen_mutant,Initiation,20,278,96
spen_mutant,Initiation,20,113,7
spen_mutant,Initiation,20,139,12
spen_mutant,Initiation,20,158,26
spen_mutant,Initiation,20,315,58
spen_mutant,Initiation,20,187,9
spen_mutant,Initiation,20,71,13
spen_mutant,Initiation,20,52,9
spen_mutant,Initiation,20,45,11
spen_mutant,Initiation,20,185,38
spen_mutant,Initiation,20,162,60
spen_mutant,Initiation,20,136,63
spen_mutant,Initiation,20,197,11
spen_mutant,Initiation,20,318,25
spen_mutant,Initiation,20,64,11
spen_mutant,Initiation,20,135,17
spen_mutant,Initiation,30,91,60
spen_mutant,Initiation,30,88,31
spen_mutant,Initiation,30,161,34
spen_mutant,Initiation,30,198,100
spen_mutant,Initiation,30,208,92
spen_mutant,Initiation,30,147,73
spen_mutant,Initiation,30,82,47
spen_mutant,Initiation,30,54,21
spen_mutant,Initiation,30,128,49
spen_mutant,Initiation,30,142,59
spen_mutant,Initiation,30,301,166
spen_mutant,Initiation,30,35,20
spen_mutant,Initiation,30,75,38
spen_mutant,Initiation,30,105,37
spen_mutant,Initiation,30,24,12
spen_mutant,Initiation,30,24,4
spen_mutant,Initiation,30,9,6
spen_mutant,Initiation,40,53,56
spen_mutant,Initiation,40,5,5
spen_mutant,Initiation,40,4,7
spen_mutant,Initiation,40,54,53
spen_mutant,Initiation,40,18,25
spen_mutant,Initiation,40,20,29
spen_mutant,Initiation,40,67,56
spen_mutant,Initiation,40,39,29
spen_mutant,Initiation,40,3,4
spen_mutant,Initiation,40,66,59
spen_mutant,Initiation,40,66,92
spen_mutant,Initiation,40,68,75
spen_mutant,Initiation,40,18,23
spen_mutant,Initiation,40,28,23
spen_mutant,Initiation,40,7,9
spen_mutant,Initiation,40,3,3
spen_mutant,Initiation,40,37,30
spen_mutant,Initiation,50,76,197
spen_mutant,Initiation,50,24,75
spen_mutant,Initiation,50,55,147
spen_mutant,Initiation,50,11,34
spen_mutant,Initiation,50,8,23
spen_mutant,Initiation,50,16,65
spen_mutant,Initiation,50,33,102
spen_mutant,Initiation,50,6,22
spen_mutant,Initiation,50,21,68
spen_mutant,Initiation,50,14,40
spen_mutant,Initiation,50,9,30
spen_mutant,Initiation,50,23,87
spen_mutant,Initiation,50,16,59
spen_mutant,Initiation,50,10,31
spen_mutant,Initiation,50,23,74
spen_mutant,Initiation,50,25,68
spen_mutant,Initiation,50,20,78
spen_mutant,Initiation,60,7,66
spen_mutant,Initiation,60,15,112
spen_mutant,Initiation,60,8,68
spen_mutant,Initiation,60,16,126
spen_mutant,Initiation,60,14,158
spen_mutant,Initiation,60,0,11
spen_mutant,Initiation,60,2,21
spen_mutant,Initiation,60,5,57
spen_mutant,Initiation,60,10,86
spen_mutant,Initiation,60,18,184
spen_mutant,Initiation,60,14,146
spen_mutant,Initiation,60,20,162
spen_mutant,Initiation,60,26,289
spen_mutant,Initiation,60,5,48
spen_mutant,Initiation,60,10,99
spen_mutant,Initiation,60,5,45
spen_mutant,Initiation,60,7,78
spen_mutant,Initiation,10,171,20
spen_mutant,Initiation,10,42,0
spen_mutant,Initiation,10,65,8
