cell_line,phase,time_point,old_centroids,new_centroids
wild_type,Initiation,10,228,35
wild_type,Initiation,10,131,0
wild_type,Initiation,10,112,11
wild_type,Initiation,10,158,0
wild_type,Initiation,10,53,0
wild_type,Initiation,10,80,23
wild_type,Initiation,10,90,4
wild_type,Initiation,10,105,0
wild_type,Initiation,10,137,5
wild_type,Initiation,10,86,7
wild_type,Initiation,10,64,0
wild_type,Initiation,10,70,6
wild_type,Initiation,10,205,0
wild_type,Initiation,10,81,2
wild_type,Initiation,10,85,22
wild_type,Initiation,10,214,0
wild_type,Initiation,10,48,9
wild_type,Initiation,10,165,48
wild_type,Initiation,10,160,21
wild_type,Initiation,10,113,0
wild_type,Initiation,10,69,0
wild_type,Initiation,10,344,0
wild_type,Initiation,10,164,0
wild_type,Initiation,10,102,0
wild_type,Initiation,10,109,0
wild_type,Initiation,10,125,0
wild_type,Initiation,20,113,11
wild_type,Initiation,20,201,15
wild_type,Initiation,20,91,20
wild_type,Initiation,20,77,23
wild_type,Initiation,20,86,0
wild_type,Initiation,20,82,0
wild_type,Initiation,20,133,5
wild_type,Initiation,20,115,0
wild_type,Initiation,20,107,41
wild_type,Initiation,20,80,10
wild_type,Initiation,20,352,3
wild_type,Initiation,20,126,33
wild_type,Initiation,20,60,13
wild_type,Initiation,20,28,7
wild_type,Initiation,20,30,10
wild_type,Initiation,20,211,32
wild_type,Initiation,20,123,19
wild_type,Initiation,20,124,22
wild_type,Initiation,20,161,48
wild_type,Initiation,20,100,31
wild_type,Initiation,20,191,47
wild_type,Initiation,20,82,11
wild_type,Initiation,20,138,32
wild_type,Initiation,20,115,0
wild_type,Initiation,20,131,48
wild_type,Initiation,20,135,19
wild_type,Initiation,30,72,4
wild_type,Initiation,30,129,50
wild_type,Initiation,30,159,24
wild_type,Initiation,30,211,71
wild_type,Initiation,30,131,51
wild_type,Initiation,30,183,13
wild_type,Initiation,30,287,5
wild_type,Initiation,30,109,27
wild_type,Initiation,30,251,27
wild_type,Initiation,30,309,125
wild_type,Initiation,30,108,26
wild_type,Initiation,30,179,53
wild_type,Initiation,30,266,12
wild_type,Initiation,30,89,18
wild_type,Initiation,30,190,9
wild_type,Initiation,30,386,18
wild_type,Initiation,30,37,2
wild_type,Initiation,30,268,56
wild_type,Initiation,30,198,14
wild_type,Initiation,30,119,15
wild_type,Initiation,30,123,11
wild_type,Initiation,30,108,51
wild_type,Initiation,30,159,30
wild_type,Initiation,30,50,17
wild_type,Initiation,30,56,14
wild_type,Initiation,30,127,17
wild_type,Initiation,40,194,65
wild_type,Initiation,40,66,32
wild_type,Initiation,40,81,33
wild_type,Initiation,40,184,32
wild_type,Initiation,40,160,48
wild_type,Initiation,40,119,15
wild_type,Initiation,40,72,35
wild_type,Initiation,40,76,22
wild_type,Initiation,40,152,8
wild_type,Initiation,40,190,16
wild_type,Initiation,40,289,24
